staff_id,cycle_year,month_bucket,file_path,file_name,file_sha1,kpa_code,kpa_name,kpi_id,kpi_description,rating,rating_label,impact_summary,risks_or_gaps,values_hits,evidence_type,raw_llm_json
20172672,2025,2025-12,"C:\Users\User\Downloads\Academic Leadership, Management and Administration\Academic Leadership, Management and Administration\14 May 2025_SDL Exco Meeting Agenda (1).pdf",14 May 2025_SDL Exco Meeting Agenda (1).pdf,b2a8a254ef5a108a90cf925994d9b59c9eec7154,,,,,,,"❌ Exception contacting Ollama at http://127.0.0.1:11434/api/generate: HTTPConnectionPool(host='127.0.0.1', port=11434): Read timed out. (read timeout=300.0)",,,pdf,{}
20172672,2025,2025-12,"C:\Users\User\Downloads\Academic Leadership, Management and Administration\Academic Leadership, Management and Administration\2.2.2.2.3_SCSSE SMC Agenda and minutes_ 8 April 2025 (1).docx",2.2.2.2.3_SCSSE SMC Agenda and minutes_ 8 April 2025 (1).docx,df066530fb7f1f91b84435e3119b8ff687139f92,,,,,,,"❌ Exception contacting Ollama at http://127.0.0.1:11434/api/generate: HTTPConnectionPool(host='127.0.0.1', port=11434): Read timed out. (read timeout=300.0)",,,word,{}
20172672,2025,2025-12,"C:\Users\User\Downloads\Academic Leadership, Management and Administration\Academic Leadership, Management and Administration\14 May 2025_SDL Exco Meeting Agenda (1).pdf",14 May 2025_SDL Exco Meeting Agenda (1).pdf,b2a8a254ef5a108a90cf925994d9b59c9eec7154,,,,,,,"❌ Exception contacting Ollama at http://127.0.0.1:11434/api/generate: HTTPConnectionPool(host='127.0.0.1', port=11434): Read timed out. (read timeout=300.0)",,,pdf,{}
20172672,2025,2025-12,"C:\Users\User\Downloads\Academic Leadership, Management and Administration\Academic Leadership, Management and Administration\14 May 2025_SDL Exco Meeting Agenda (1).pdf",14 May 2025_SDL Exco Meeting Agenda (1).pdf,b2a8a254ef5a108a90cf925994d9b59c9eec7154,,,,,,,"❌ Exception contacting Ollama at http://127.0.0.1:11434/api/generate: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,pdf,{}
20172672,2025,2025-12,"C:\Users\User\Downloads\Academic Leadership, Management and Administration\Academic Leadership, Management and Administration\14 May 2025_SDL Exco Meeting Agenda (1).pdf",14 May 2025_SDL Exco Meeting Agenda (1).pdf,b2a8a254ef5a108a90cf925994d9b59c9eec7154,,,,,,,"❌ Exception contacting Ollama at http://127.0.0.1:11434/api/generate: HTTPConnectionPool(host='127.0.0.1', port=11434): Read timed out. (read timeout=300.0)",,,pdf,{}
20172672,2025,2025-12,"C:\Users\User\Downloads\Academic Leadership, Management and Administration\Academic Leadership, Management and Administration\2.2.2.2.3_SCSSE SMC Agenda and minutes_ 8 April 2025 (1).docx",2.2.2.2.3_SCSSE SMC Agenda and minutes_ 8 April 2025 (1).docx,df066530fb7f1f91b84435e3119b8ff687139f92,,,,,,,"❌ Exception contacting Ollama at http://127.0.0.1:11434/api/generate: HTTPConnectionPool(host='127.0.0.1', port=11434): Read timed out. (read timeout=300.0)",,,word,{}
20172672,2025,2025-12,"C:\Users\User\Downloads\Academic Leadership, Management and Administration\Academic Leadership, Management and Administration\14 May 2025_SDL Exco Meeting Agenda (1).pdf",14 May 2025_SDL Exco Meeting Agenda (1).pdf,b2a8a254ef5a108a90cf925994d9b59c9eec7154,,,,,,,"Exception contacting Ollama at http://127.0.0.1:11434/api/generate: HTTPConnectionPool(host='127.0.0.1', port=11434): Read timed out. (read timeout=60.0)",,,pdf,{}
20172672,2025,2025-12,"C:\Users\User\Downloads\Academic Leadership, Management and Administration\Academic Leadership, Management and Administration\2.2.2.2.3_SCSSE SMC Agenda and minutes_ 8 April 2025 (1).docx",2.2.2.2.3_SCSSE SMC Agenda and minutes_ 8 April 2025 (1).docx,df066530fb7f1f91b84435e3119b8ff687139f92,,,,,,,"Exception contacting Ollama at http://127.0.0.1:11434/api/generate: HTTPConnectionPool(host='127.0.0.1', port=11434): Read timed out. (read timeout=60.0)",,,word,{}
20172672,2025,2025-12,"C:\Users\User\Downloads\Academic Leadership, Management and Administration\Academic Leadership, Management and Administration\2.2.2.4_History April 2025 meeting minutes.docm",2.2.2.4_History April 2025 meeting minutes.docm,edaa9450b25d821361a04404cf8921d0dbe8455d,KPA1,"Teaching and Learning, including Higher Degree Supervision",,MEd Supervisor,,,"This evidence shows that Byron Bunt supervised a Master's student (Maarman PH) for 180 hours, meeting the minimum requirement of 60 hours per year for a maximum of 3 years. This indicates effective supervision and guidance provided to the student, contributing to their academic success.",,,docm,"{""classification"": {""primary_kpa_code"": ""KPA1"", ""primary_kpa_name"": ""Teaching and Learning, including Higher Degree Supervision"", ""primary_kpi_index"": 1, ""primary_kpi_description"": ""MEd Supervisor"", ""tier_label"": ""Transformational"", ""evidence_summary"": ""This evidence shows that Byron Bunt supervised a Master's student (Maarman PH) for 180 hours, meeting the minimum requirement of 60 hours per year for a maximum of 3 years. This indicates effective supervision and guidance provided to the student, contributing to their academic success.""}, ""rating_error"": ""Exception contacting Ollama at http://127.0.0.1:11434/api/generate: HTTPConnectionPool(host='127.0.0.1', port=11434): Read timed out. (read timeout=60.0)""}"
20172672,2025,2025-12,"C:\Users\User\Downloads\Academic Leadership, Management and Administration\Academic Leadership, Management and Administration\2.2.2.4_History meeting agenda April 2025.docm",2.2.2.4_History meeting agenda April 2025.docm,937cf624ceb7dab31a480cf0a74dd8e9a81ceea5,,,,,,,"Exception contacting Ollama at http://127.0.0.1:11434/api/generate: HTTPConnectionPool(host='127.0.0.1', port=11434): Read timed out. (read timeout=60.0)",,,docm,{}
